yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
TAF9_HUMAN	Q16594	TAF9_HUMAN	reviewed	Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32)	TAF9 TAF2G TAFII31	Homo sapiens (Human)	264
ZXDC_HUMAN	Q2QGD7	ZXDC_HUMAN	reviewed	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	ZXDC ZXDL	Homo sapiens (Human)	858
C43BP_HUMAN	Q9Y5P4	CERT_HUMAN	reviewed	Ceramide transfer protein (hCERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11)	CERT1 CERT COL4A3BP STARD11	Homo sapiens (Human)	624
KC1G2_HUMAN	P78368	KC1G2_HUMAN	reviewed	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	Homo sapiens (Human)	415
Q7RTN4_HUMAN	Q7RTN4	Q7RTN4_HUMAN	unreviewed	Truncated RTN3-A3	RTN3	Homo sapiens (Human)	85
RTN3_HUMAN	O95197	RTN3_HUMAN	reviewed	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3 ASYIP NSPL2	Homo sapiens (Human)	1032
C56D2_HUMAN	O14569	C56D2_HUMAN	reviewed	Cytochrome b561 domain-containing protein 2 (EC 7.2.1.3) (Putative tumor suppressor protein 101F6) (Transmembrane ascorbate ferrireductase)	CYB561D2 101F6 LUCA12.2	Homo sapiens (Human)	222
C5ARL_HUMAN	Q9P296	C5AR2_HUMAN	reviewed	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)	C5AR2 C5L2 GPR77	Homo sapiens (Human)	337
CO5_HUMAN	P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	Homo sapiens (Human)	1676
C8AP2_HUMAN	Q9UKL3	C8AP2_HUMAN	reviewed	CASP8-associated protein 2 (FLICE-associated huge protein)	CASP8AP2 FLASH KIAA1315 RIP25	Homo sapiens (Human)	1982
CA065_HUMAN	Q8N715	CC185_HUMAN	reviewed	Coiled-coil domain-containing protein 185	CCDC185 C1orf65	Homo sapiens (Human)	623
CA190_HUMAN,Q96LR2_HUMAN	Q96LR2	LURA1_HUMAN	reviewed	Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A)	LURAP1 C1orf190 LRAP35A LRP35A	Homo sapiens (Human)	239
CS050_HUMAN,Q9BQD3_HUMAN	Q9BQD3	KXDL1_HUMAN	reviewed	KxDL motif-containing protein 1	KXD1 C19orf50	Homo sapiens (Human)	176
CA128_HUMAN	Q9GZP4	PITH1_HUMAN	reviewed	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211
ING3_HUMAN	Q9NXR8	ING3_HUMAN	reviewed	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	418
JADE1_HUMAN	Q6IE81	JADE1_HUMAN	reviewed	Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17)	JADE1 KIAA1807 PHF17	Homo sapiens (Human)	842
LMBL2_HUMAN	Q969R5	LMBL2_HUMAN	reviewed	Lethal(3)malignant brain tumor-like protein 2 (H-l(3)mbt-like protein 2) (L(3)mbt-like protein 2)	L3MBTL2	Homo sapiens (Human)	705
CA174_HUMAN	Q8IYL3	CA174_HUMAN	reviewed	UPF0688 protein C1orf174	C1orf174	Homo sapiens (Human)	243
CAB39_HUMAN	Q9Y376	CAB39_HUMAN	reviewed	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39 MO25 CGI-66	Homo sapiens (Human)	341
CAB45_HUMAN	Q9BRK5	CAB45_HUMAN	reviewed	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 PSEC0034	Homo sapiens (Human)	362
PRAF1_HUMAN	Q9UI14	PRAF1_HUMAN	reviewed	Prenylated Rab acceptor protein 1 (PRA1 family protein 1)	RABAC1 PRA1 PRAF1	Homo sapiens (Human)	185
CABIN_HUMAN	Q9Y6J0	CABIN_HUMAN	reviewed	Calcineurin-binding protein cabin-1 (Calcineurin inhibitor) (CAIN)	CABIN1 KIAA0330	Homo sapiens (Human)	2220
MEF2B_HUMAN	Q02080	MEF2B_HUMAN	reviewed	Myocyte-specific enhancer factor 2B (RSRFR2) (Serum response factor-like protein 2)	MEF2B XMEF2	Homo sapiens (Human)	365
PP2BB_HUMAN	P16298	PP2BB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta)	PPP3CB CALNA2 CALNB CNA2	Homo sapiens (Human)	524
CCNE1_HUMAN	P24864	CCNE1_HUMAN	reviewed	G1/S-specific cyclin-E1	CCNE1 CCNE	Homo sapiens (Human)	410
CDK3_HUMAN	Q00526	CDK3_HUMAN	reviewed	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	305
CABP1_HUMAN	Q9NZU7	CABP1_HUMAN	reviewed	Calcium-binding protein 1 (CaBP1) (Calbrain) (Caldendrin)	CABP1	Homo sapiens (Human)	370
ITPR1_HUMAN	Q14643	ITPR1_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	ITPR1 INSP3R1	Homo sapiens (Human)	2758
ITPR3_HUMAN	Q14573	ITPR3_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	ITPR3	Homo sapiens (Human)	2671
CABP2_HUMAN	Q9NPB3	CABP2_HUMAN	reviewed	Calcium-binding protein 2 (CaBP2)	CABP2	Homo sapiens (Human)	220
CAC1A_HUMAN	O00555	CAC1A_HUMAN	reviewed	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	CACNA1A CACH4 CACN3 CACNL1A4	Homo sapiens (Human)	2506
PPM1A_HUMAN	P35813	PPM1A_HUMAN	reviewed	Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)	PPM1A PPPM1A	Homo sapiens (Human)	382
CAC1B_HUMAN	Q00975	CAC1B_HUMAN	reviewed	Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)	CACNA1B CACH5 CACNL1A5	Homo sapiens (Human)	2339
RGS12_HUMAN	O14924	RGS12_HUMAN	reviewed	Regulator of G-protein signaling 12 (RGS12)	RGS12	Homo sapiens (Human)	1447
CAC1C_HUMAN	Q13936	CAC1C_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
CACB3_HUMAN	P54284	CACB3_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	CACNB3 CACNLB3	Homo sapiens (Human)	484
CACB2_HUMAN	Q08289	CACB2_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B) (MYSB)	CACNB2 CACNLB2 MYSB	Homo sapiens (Human)	660
RAD_HUMAN	P55042	RAD_HUMAN	reviewed	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	RRAD RAD	Homo sapiens (Human)	308
CACB4_HUMAN	O00305	CACB4_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)	CACNB4 CACNLB4	Homo sapiens (Human)	520
MAP1A_HUMAN	P78559	MAP1A_HUMAN	reviewed	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)	2803
Q9BX90_HUMAN	Q9BX90	Q9BX90_HUMAN	unreviewed	Magphinin beta	TRO	Homo sapiens (Human)	706
SYT1_HUMAN	P21579	SYT1_HUMAN	reviewed	Synaptotagmin-1 (Synaptotagmin I) (SytI) (p65)	SYT1 SVP65 SYT	Homo sapiens (Human)	422
CN140_HUMAN	Q53FD0	ZC21C_HUMAN	reviewed	Zinc finger C2HC domain-containing protein 1C	ZC2HC1C C14orf140 FAM164C	Homo sapiens (Human)	456
CPNE7_HUMAN	Q9UBL6	CPNE7_HUMAN	reviewed	Copine-7 (Copine VII)	CPNE7	Homo sapiens (Human)	633
CT195_HUMAN	Q9BVV2	FND11_HUMAN	reviewed	Fibronectin type III domain-containing protein 11	FNDC11 C20orf195	Homo sapiens (Human)	318
DBND2_HUMAN	Q9BQY9	DBND2_HUMAN	reviewed	Dysbindin domain-containing protein 2 (Casein kinase-1 binding protein) (CK1BP) (HSMNP1)	DBNDD2 C20orf35	Homo sapiens (Human)	259
ELOA2_HUMAN	Q8IYF1	ELOA2_HUMAN	reviewed	Elongin-A2 (EloA2) (RNA polymerase II transcription factor SIII subunit A2) (Transcription elongation factor B polypeptide 3B)	ELOA2 TCEB3B TCEB3L	Homo sapiens (Human)	753
FASTK_HUMAN	Q14296	FASTK_HUMAN	reviewed	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)	549
FBF1_HUMAN	Q8TES7	FBF1_HUMAN	reviewed	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863	Homo sapiens (Human)	1133
FXL18_HUMAN	Q96ME1	FXL18_HUMAN	reviewed	F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18)	FBXL18 FBL18	Homo sapiens (Human)	805
GBRL1_HUMAN	Q9H0R8	GBRL1_HUMAN	reviewed	Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1)	GABARAPL1 GEC1	Homo sapiens (Human)	117
LSM4_HUMAN	Q9Y4Z0	LSM4_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP)	LSM4	Homo sapiens (Human)	139
PEF1_HUMAN	Q9UBV8	PEF1_HUMAN	reviewed	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284
POLI_HUMAN	Q9UNA4	POLI_HUMAN	reviewed	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)	POLI RAD30B	Homo sapiens (Human)	740
PRPK_HUMAN	Q96S44	PRPK_HUMAN	reviewed	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	Homo sapiens (Human)	253
PTBP2_HUMAN	Q9UKA9	PTBP2_HUMAN	reviewed	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	PTBP2 NPTB PTB PTBLP	Homo sapiens (Human)	531
Q5JZ02_HUMAN	Q5JZ02	Q5JZ02_HUMAN	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	TP53RK	Homo sapiens (Human)	121
Q5T5S8	Q5T5S8	Q5T5S8_HUMAN		Deleted.			
Q96D16_HUMAN	Q96D16	Q96D16_HUMAN	unreviewed	F-box/LRR-repeat protein 18 (FBXL18 protein)	FBXL18	Homo sapiens (Human)	259
Q96F93_HUMAN	Q96F93	Q96F93_HUMAN	unreviewed	ZNF101 protein (Fragment)	ZNF101	Homo sapiens (Human)	373
Q9BWD7_HUMAN	Q9BWD7	Q9BWD7_HUMAN	unreviewed	FASTK protein	FASTK	Homo sapiens (Human)	465
Q9H918_HUMAN	Q9H918	Q9H918_HUMAN	unreviewed	cDNA FLJ13079 fis, clone NT2RP3002004, moderately similar to H.sapiens FAST kinase		Homo sapiens (Human)	159
Q96PV9_HUMAN,RHPN1_HUMAN	Q8TCX5	RHPN1_HUMAN	reviewed	Rhophilin-1 (GTP-Rho-binding protein 1)	RHPN1 KIAA1929	Homo sapiens (Human)	670
ZN101_HUMAN	Q8IZC7	ZN101_HUMAN	reviewed	Zinc finger protein 101 (Zinc finger protein HZF12)	ZNF101	Homo sapiens (Human)	436
ZN408_HUMAN	Q9H9D4	ZN408_HUMAN	reviewed	Zinc finger protein 408 (PR domain zinc finger protein 17)	ZNF408 PFM14 PRDM17	Homo sapiens (Human)	720
ZN426_HUMAN	Q9BUY5	ZN426_HUMAN	reviewed	Zinc finger protein 426	ZNF426	Homo sapiens (Human)	554
ZN638_HUMAN	Q14966	ZN638_HUMAN	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	ZNF638 NP220 ZFML	Homo sapiens (Human)	1978
CAD10_HUMAN	Q9Y6N8	CAD10_HUMAN	reviewed	Cadherin-10 (T2-cadherin)	CDH10	Homo sapiens (Human)	788
CAD12_HUMAN	P55289	CAD12_HUMAN	reviewed	Cadherin-12 (Brain cadherin) (BR-cadherin) (Neural type cadherin 2) (N-cadherin 2)	CDH12	Homo sapiens (Human)	794
CADH7_HUMAN	Q9ULB5	CADH7_HUMAN	reviewed	Cadherin-7	CDH7 CDH7L1	Homo sapiens (Human)	785
CAD13_HUMAN	P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713
ADIPO_HUMAN	Q15848	ADIPO_HUMAN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	Homo sapiens (Human)	244
CDON_HUMAN	Q4KMG0	CDON_HUMAN	reviewed	Cell adhesion molecule-related/down-regulated by oncogenes	CDON CDO	Homo sapiens (Human)	1287
CAD18_HUMAN	Q13634	CAD18_HUMAN	reviewed	Cadherin-18 (Cadherin-14)	CDH18 CDH14	Homo sapiens (Human)	790
CADH9_HUMAN	Q9ULB4	CADH9_HUMAN	reviewed	Cadherin-9	CDH9	Homo sapiens (Human)	789
CAD23_HUMAN	Q9H251	CAD23_HUMAN	reviewed	Cadherin-23 (Otocadherin)	CDH23 KIAA1774 KIAA1812 UNQ1894/PRO4340	Homo sapiens (Human)	3354
CADH1_HUMAN	P12830	CADH1_HUMAN	reviewed	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	CDH1 CDHE UVO	Homo sapiens (Human)	882
CTND1_HUMAN	O60716	CTND1_HUMAN	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1 KIAA0384	Homo sapiens (Human)	968
CTND2_HUMAN	Q9UQB3	CTND2_HUMAN	reviewed	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	CTNND2 NPRAP	Homo sapiens (Human)	1225
HAKAI_HUMAN	Q75N03	HAKAI_HUMAN	reviewed	E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING finger protein 188) (RING-type E3 ubiquitin transferase Hakai)	CBLL1 HAKAI RNF188	Homo sapiens (Human)	491
ITAE_HUMAN	P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	Homo sapiens (Human)	1179
ITB7_HUMAN	P26010	ITB7_HUMAN	reviewed	Integrin beta-7 (Gut homing receptor beta subunit)	ITGB7	Homo sapiens (Human)	798
PTPRM_HUMAN	P28827	PTPRM_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	PTPRM PTPRL1	Homo sapiens (Human)	1452
CADH2_HUMAN	P19022	CADH2_HUMAN	reviewed	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	906
CADH3_HUMAN	P22223	CADH3_HUMAN	reviewed	Cadherin-3 (Placental cadherin) (P-cadherin)	CDH3 CDHP	Homo sapiens (Human)	829
CTNA1_HUMAN	P35221	CTNA1_HUMAN	reviewed	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1	Homo sapiens (Human)	906
CADH5_HUMAN	P33151	CADH5_HUMAN	reviewed	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	Homo sapiens (Human)	784
EPHA2_HUMAN	P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
PKP4_HUMAN	Q99569	PKP4_HUMAN	reviewed	Plakophilin-4 (p0071)	PKP4	Homo sapiens (Human)	1192
CAF1B_HUMAN	Q13112	CAF1B_HUMAN	reviewed	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)	CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7	Homo sapiens (Human)	559
H31_HUMAN	P68431	H31_HUMAN	reviewed	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J	Homo sapiens (Human)	136
LEG7_HUMAN	P47929	LEG7_HUMAN	reviewed	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)	LGALS7 PIG1; LGALS7B	Homo sapiens (Human)	136
CAH8_HUMAN	P35219	CAH8_HUMAN	reviewed	Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII)	CA8 CALS	Homo sapiens (Human)	290
LRCH4_HUMAN	O75427	LRCH4_HUMAN	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein)	LRCH4 LRN LRRN1 LRRN4	Homo sapiens (Human)	683
Q8TEE9_HUMAN	Q8TEE9	SAP25_HUMAN	reviewed	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP25)	SAP25	Homo sapiens (Human)	199
K0240_HUMAN	Q6AI39	BICRL_HUMAN	reviewed	BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like)	BICRAL GLTSCR1L KIAA0240	Homo sapiens (Human)	1079
XAB2_HUMAN	Q9HCS7	SYF1_HUMAN	reviewed	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	Homo sapiens (Human)	855
CALC_HUMAN	P01258	CALC_HUMAN	reviewed	Calcitonin [Cleaved into: Calcitonin; Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)]	CALCA CALC1	Homo sapiens (Human)	141
CALRL_HUMAN	Q16602	CALRL_HUMAN	reviewed	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	CALCRL CGRPR	Homo sapiens (Human)	461
RAMP1_HUMAN	O60894	RAMP1_HUMAN	reviewed	Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1)	RAMP1	Homo sapiens (Human)	148
CALL3_HUMAN	P27482	CALL3_HUMAN	reviewed	Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1)	CALML3	Homo sapiens (Human)	149
K1683_HUMAN	Q9H0B3	IQCN_HUMAN	reviewed	IQ domain-containing protein N	IQCN KIAA1683	Homo sapiens (Human)	1180
MYO6_HUMAN	Q9UM54	MYO6_HUMAN	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	MYO6 KIAA0389	Homo sapiens (Human)	1294
NEUM_HUMAN	P17677	NEUM_HUMAN	reviewed	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)	GAP43	Homo sapiens (Human)	238
PECA1_HUMAN	P16284	PECA1_HUMAN	reviewed	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
Q14784_HUMAN	Q14784	Q14784_HUMAN	unreviewed	Myosin (Fragment)		Homo sapiens (Human)	87
RALA_HUMAN	P11233	RALA_HUMAN	reviewed	Ras-related protein Ral-A (EC 3.6.5.2)	RALA RAL	Homo sapiens (Human)	206
RALB_HUMAN	P11234	RALB_HUMAN	reviewed	Ras-related protein Ral-B (EC 3.6.5.2)	RALB	Homo sapiens (Human)	206
REL_HUMAN	Q04864	REL_HUMAN	reviewed	Proto-oncogene c-Rel	REL	Homo sapiens (Human)	619
FIBB_HUMAN	P02675	FIBB_HUMAN	reviewed	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB	Homo sapiens (Human)	491
ITA3_HUMAN	P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051
MYPR_HUMAN	P60201	MYPR_HUMAN	reviewed	Myelin proteolipid protein (PLP) (Lipophilin)	PLP1 PLP	Homo sapiens (Human)	277
PDIA2_HUMAN	Q13087	PDIA2_HUMAN	reviewed	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)	PDIA2 PDIP	Homo sapiens (Human)	525
CALCA_HUMAN	P06881	CALCA_HUMAN	reviewed	Calcitonin gene-related peptide 1 (Alpha-type CGRP) (Calcitonin gene-related peptide I) (CGRP-I)	CALCA CALC1	Homo sapiens (Human)	128
RPC9_HUMAN	O75575	RPC9_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (Calcitonin gene-related peptide-receptor component protein) (CGRP-RCP) (CGRP-receptor component protein) (CGRPRCP) (HsC17)	CRCP	Homo sapiens (Human)	148
CALX_HUMAN	P27824	CALX_HUMAN	reviewed	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592
CFTR_HUMAN	P13569	CFTR_HUMAN	reviewed	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	CFTR ABCC7	Homo sapiens (Human)	1480
Q6IAM1_HUMAN	Q6IAM1	Q6IAM1_HUMAN	unreviewed	Family with sequence similarity 107 member A transcript variant (Family with sequence similarity 107, member A, isoform CRA_a) (TU3A protein)	TU3A FAM107A hCG_22019	Homo sapiens (Human)	144
SMUF2_HUMAN	Q9HAU4	SMUF2_HUMAN	reviewed	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748
CAMLG_HUMAN	P49069	CAMLG_HUMAN	reviewed	Calcium signal-modulating cyclophilin ligand (CAML)	CAMLG CAML	Homo sapiens (Human)	296
PPIB_HUMAN	P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
CAN1_HUMAN	P07384	CAN1_HUMAN	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	CAPN1 CANPL1 PIG30	Homo sapiens (Human)	714
GAS2_HUMAN	O43903	GAS2_HUMAN	reviewed	Growth arrest-specific protein 2 (GAS-2)	GAS2	Homo sapiens (Human)	313
ECBP2_HUMAN,Q7Z6G3_HUMAN	Q7Z6G3	NECA2_HUMAN	reviewed	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2) (Synaptotagmin-interacting protein 2) (Stip-2)	NECAB2 EFCBP2	Homo sapiens (Human)	386
NFAC1_HUMAN	O95644	NFAC1_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	NFATC1 NFAT2 NFATC	Homo sapiens (Human)	943
NFAC2_HUMAN	Q13469	NFAC2_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	NFATC2 NFAT1 NFATP	Homo sapiens (Human)	925
